dev,name,batch_size,_compile.<locals>.compile_inner,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,compile_fx_inner,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,compile_file,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,34.265164,32.769410,29.432403,27.042110,23.510567,1.875381,20.297577,1.759955,2.095928,0.049752,1.602733,0,0
cuda,Background_Matting,1,43.892166,43.242128,42.361052,40.316417,39.593777,1.856414,36.867406,1.360742,1.880218,0.031502,3.947996,0,0
cuda,DALLE2_pytorch,1,227.491030,209.638928,207.842692,190.066429,177.185830,16.969012,152.482523,20.377763,13.440143,0.369366,28.224539,0,0
cuda,LearningToPaint,96,27.731486,27.441218,26.619453,25.891393,25.288293,0.510825,24.476561,0.300774,0.822558,0.013089,1.802541,0,0
cuda,Super_SloMo,6,75.763879,75.042559,74.208918,72.243136,71.719086,5.019432,65.650266,5.326010,5.052934,0.041007,7.223917,0,0
cuda,alexnet,128,14.033520,13.935489,13.168300,13.061610,12.942457,0.141621,12.746954,0.193988,0.808791,0.004647,0.748900,0,0
cuda,basic_gnn_edgecnn,1,7.598392,7.270183,7.251597,7.075720,6.932550,0.101933,6.752699,0.076707,0.730491,0.003182,0.581686,0,0
cuda,basic_gnn_gcn,1,16.508732,15.747138,15.723037,15.444608,15.302078,0.088181,15.144867,0.088796,0.720896,0.006046,1.061640,0,0
cuda,basic_gnn_gin,1,8.832271,8.628662,8.610537,8.460498,8.317580,0.094627,8.137079,0.065550,0.727732,0.003115,0.731131,0,0
cuda,basic_gnn_sage,1,13.103970,12.920713,12.901726,12.749845,12.604551,0.089366,12.439193,0.075433,0.724959,0.003515,1.190974,0,0
cuda,cm3leon_generate,1,157.649123,149.234139,147.545421,133.675368,99.847832,7.912280,84.099824,10.188215,8.879138,0.306252,14.134318,0,0
cuda,dcgan,256,10.681848,10.604641,9.892481,9.715407,9.604702,0.124506,9.411421,0.214807,0.731140,0.003947,0.463053,0,0
cuda,demucs,8,29.768068,29.330292,28.561492,28.263620,28.145238,0.243804,27.782824,0.353225,1.134624,0.014172,5.047904,0,0
cuda,densenet121,64,65.584203,63.944372,62.933546,59.582703,59.121773,3.069702,54.507861,4.237918,3.831970,0.079640,9.496588,0,0
cuda,detectron2_fasterrcnn_r_101_c4,1,65.942979,59.014522,57.981203,54.299233,53.713150,2.818190,49.286653,1.632734,11.100742,0.061057,5.393364,7.582734,0
cuda,detectron2_fasterrcnn_r_101_dc5,1,60.121347,54.208372,53.120375,49.423522,48.551902,2.774015,44.144078,1.820423,7.202494,0.058642,4.259534,5.025430,0
cuda,detectron2_fasterrcnn_r_101_fpn,1,77.332887,69.543944,68.391786,63.409575,62.724412,3.746894,57.071317,2.475449,8.181651,0.080783,8.575147,4.990916,0
cuda,detectron2_fasterrcnn_r_50_c4,1,53.973406,49.970184,48.979093,46.686320,46.004547,1.734503,43.180840,1.224369,6.665910,0.040001,5.202319,5.006966,0
cuda,detectron2_fasterrcnn_r_50_dc5,1,54.313984,50.359063,49.327271,46.890150,46.397539,1.712853,43.779193,1.419640,6.649394,0.039471,4.255214,4.992080,0
cuda,detectron2_fasterrcnn_r_50_fpn,1,70.040156,64.280174,63.227566,59.915770,59.310575,2.433176,55.580560,1.776279,7.822355,0.059250,8.136235,4.951806,0
cuda,detectron2_fcos_r_50_fpn,1,58.229640,53.519220,52.518546,47.334819,47.009096,2.290980,42.693675,1.438953,7.961483,0.071883,4.679380,3.660261,0
cuda,detectron2_maskrcnn_r_101_c4,1,71.983885,65.052716,63.915140,59.216983,58.355932,3.441881,52.826672,2.049237,7.941762,0.072748,6.907676,7.744026,0
cuda,detectron2_maskrcnn_r_101_fpn,1,85.420280,76.496993,75.271782,69.912104,69.187770,4.202301,62.814521,2.499547,8.763494,0.091505,9.624565,7.718861,0
cuda,detectron2_maskrcnn_r_50_c4,1,64.493098,59.757719,58.704414,55.528606,54.571573,2.346627,50.740804,1.611973,7.453296,0.051981,6.658930,7.716158,0
cuda,detectron2_maskrcnn_r_50_fpn,1,78.581133,72.027550,70.924554,66.892747,66.241529,2.905180,61.787418,2.368806,8.422871,0.070217,9.020248,7.666255,0
cuda,dlrm,2048,12.603172,12.442027,11.718227,11.529828,10.661964,0.115064,10.446136,0.094359,0.594644,0.005264,1.048506,0,0
cuda,doctr_det_predictor,1,58.831814,56.767449,55.828058,53.261008,52.955247,1.976652,50.000711,1.587505,7.058110,0.042786,7.305618,3.679741,0
cuda,doctr_reco_predictor,1,20.553287,20.041669,19.165981,18.651215,18.518272,0.378042,17.927156,0.245700,0.898120,0.011148,0.922444,0,0
cuda,drq,1,17.146510,16.912086,16.104639,15.968386,14.913977,0.103677,14.731513,0.129418,0.584028,0.005796,1.472545,0,0
cuda,fastNLP_Bert,1,23.964584,22.554479,21.683705,19.626400,17.667101,1.256428,15.466904,1.368495,1.624455,0.047228,0.785242,0,0
cuda,functorch_dp_cifar10,64,31.963466,31.743483,31.005274,30.414731,30.244385,0.804803,29.164910,0.964266,1.205812,0.016101,2.239059,0,0
cuda,functorch_maml_omniglot,1,14.518476,14.391971,13.678235,13.550172,13.113414,0.172636,12.880248,0.298586,0.619308,0.005186,0.695458,0,0
cuda,hf_T5_generate,1,193.817656,165.970646,162.004339,119.468004,109.499023,18.692042,72.150298,18.756825,15.005108,0.644176,2.281965,0,0
cuda,hf_Whisper,8,29.482028,28.874004,28.041003,27.387159,26.984155,0.726754,25.924249,0.880028,1.221612,0.021271,1.725560,0,0
cuda,hf_distil_whisper,1,46.416916,44.709347,43.774205,40.085884,38.105463,2.553538,33.715541,3.660533,3.524095,0.145847,2.046719,0,0
cuda,lennard_jones,1000,5.971855,5.926707,5.208877,5.132993,4.506529,0.052564,4.399709,0.033905,0.641724,0.002416,0.262092,0,0
cuda,llama,32,22.911817,22.299409,21.444273,19.753207,19.254694,0.721409,17.916040,0.663731,1.371781,0.027097,1.178464,0,0
cuda,maml_omniglot,5,11.118314,11.049164,10.341448,10.192105,9.776736,0.134980,9.575329,0.216179,0.591527,0.004522,0.699369,0,0
cuda,microbench_unbacked_tolist_sum,1,7.781730,0.902466,0.125165,0.105123,0.000594,0,0,0,0,0,0,0,0
cuda,mnasnet1_0,32,29.187598,28.592981,27.796718,26.392380,26.103011,1.156742,24.295399,0.474393,1.188889,0.022903,2.286014,0,0
cuda,mobilenet_v2,16,29.261804,28.667949,27.839203,26.232287,25.909532,1.254225,23.952362,0.514341,1.251592,0.024548,2.173689,0,0
cuda,mobilenet_v3_large,32,40.014526,39.316326,38.475516,36.773865,36.569736,1.471253,34.397779,0.920211,1.448270,0.029930,4.683300,0,0
cuda,moco,32,64.121711,60.686095,59.327703,54.536996,53.930946,3.200786,48.800113,2.762246,2.819549,0.100793,8.749739,0,0
cuda,nanogpt,1,18.288636,17.572300,16.733759,15.137121,14.509001,0.971401,12.796468,0.946532,1.101307,0.025868,0.864923,0,0
cuda,nvidia_deeprecommender,256,9.118633,9.024244,8.324769,8.205872,7.412165,0.236403,7.079022,0.070745,0.541961,0.003007,0.850889,0,0
cuda,opacus_cifar10,64,33.674880,32.203285,31.298525,30.705383,30.228214,0.689882,29.263768,1.091948,1.050065,0.016047,2.174163,0,0
cuda,phlippe_densenet,128,41.063357,40.339809,39.569885,37.763838,37.253695,1.245750,35.313690,1.150452,1.450714,0.034925,4.940701,0,0
cuda,phlippe_resnet,128,20.775446,20.528015,19.761140,19.105112,18.552725,0.453723,17.823852,0.247021,0.798206,0.012197,1.192526,0,0
cuda,pyhpc_equation_of_state,1048576,8.337103,8.158784,7.331194,6.931535,6.808417,1.094628,5.425858,2.456967,1.134246,0.001804,0.041624,0,0
cuda,pyhpc_isoneutral_mixing,1048576,62.556690,62.019107,61.163514,58.390826,58.124324,4.621629,52.355748,4.703954,4.128935,0.021045,5.599727,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,60.265306,59.583567,58.624871,55.544356,55.248919,3.911287,50.148281,3.373259,3.187671,0.020803,7.043011,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,22.540056,22.314989,21.558864,20.845647,20.628052,1.128440,19.152426,0.817884,1.276239,0.016617,1.636622,0,0
cuda,pytorch_stargan,16,22.853873,22.607848,21.804900,20.871903,20.659571,0.916304,19.379248,1.315451,1.081825,0.011342,2.332503,0,0
cuda,pytorch_unet,1,35.953029,35.557630,34.820707,33.948615,33.643706,0.888542,32.403312,0.743350,1.411515,0.017302,3.142585,0,0
cuda,resnet152,32,37.805380,36.450425,35.454187,31.328491,30.803017,3.455599,25.456190,1.596648,2.426094,0.065593,1.889797,0,0
cuda,resnet18,8,22.201689,21.961484,21.195836,20.617429,20.477484,0.648208,19.564123,0.340489,1.001456,0.012103,1.183815,0,0
cuda,resnet50,32,28.211089,27.675238,26.887561,25.457709,25.154421,1.238734,23.248626,0.592382,1.323882,0.025120,1.885707,0,0
cuda,resnext50_32x4d,8,28.353134,27.829476,26.987579,25.545317,25.238447,1.247461,23.323241,0.591992,1.327959,0.024592,1.741192,0,0
cuda,sam,32,90.418717,87.263944,85.989413,75.623021,70.080956,6.610501,58.793288,6.056358,5.124294,0.145019,8.036682,0,0
cuda,shufflenet_v2_x1_0,64,40.186116,39.586604,38.784053,37.173999,36.838046,1.550891,34.555533,0.957240,1.545950,0.028807,3.335732,0,0
cuda,soft_actor_critic,256,7.690046,7.586770,6.766184,6.698291,6.018942,0.052319,5.922614,0.028720,0.513657,0.002180,0.521598,0,0
cuda,speech_transformer,1,43.739479,42.305849,41.421176,38.588756,35.913649,2.350602,31.793812,2.142354,2.473905,0.069425,2.919649,0,0
cuda,squeezenet1_1,16,18.716061,18.547314,17.767804,17.551296,17.439893,0.247690,17.118728,0.432588,0.977559,0.010000,1.319858,0,0
cuda,timm_efficientnet,64,45.827753,44.694137,43.776038,42.088985,41.716668,1.506464,39.457975,0.915477,1.819735,0.036035,6.943495,0,0
cuda,timm_regnet,32,33.028195,31.318708,30.331966,28.472440,28.248662,1.635530,25.780660,0.968592,1.596141,0.036272,2.537885,0,0
cuda,timm_resnest,32,36.412622,35.944444,35.078317,34.284973,34.120302,0.969277,32.801534,1.369213,1.559316,0.016557,3.892076,0,0
cuda,timm_vision_transformer,32,15.273989,14.644754,13.740709,12.438449,12.173579,1.096823,10.390220,0.721323,1.135442,0.022041,0.739695,0,0
cuda,timm_vovnet,32,34.801865,33.918663,33.038012,31.958261,31.615435,1.089547,30.023765,0.887296,1.578121,0.022653,1.868856,0,0
cuda,torch_multimodal_clip,32,44.078957,43.405938,42.627957,39.435822,38.929292,2.095094,35.243519,2.840050,2.485837,0.061628,2.737424,0,0
cuda,tts_angular,64,2.383713,2.318498,1.616105,1.573984,1.466329,0.036524,1.411251,0.015235,0.623926,0.000603,0,0,0
cuda,vgg16,4,19.136176,19.017093,18.251912,18.092781,17.249892,0.164755,17.017197,0.228709,0.736339,0.008218,0.981634,0,0
cuda,vision_maskrcnn,1,71.030768,63.568839,62.488968,58.157093,57.109292,2.336331,53.388747,2.454354,3.379848,0.080665,9.981240,0,0
cuda,yolov3,8,48.927958,47.961015,47.087765,44.095618,43.783451,2.328551,40.268113,2.260307,2.374712,0.046128,3.682441,0,0
cuda,adv_inception_v3,128,60.562357,58.638643,57.740553,54.736376,54.463708,2.488115,50.775245,2.736626,3.328875,0.056329,7.126355,0,0
cuda,beit_base_patch16_224,64,26.375792,25.363185,24.382216,22.769747,22.470147,1.336151,20.327553,1.083225,1.468590,0.032723,2.038065,0,0
cuda,botnet26t_256,128,46.562740,45.495707,44.574277,43.168681,42.140709,1.884560,39.741841,2.250167,1.749216,0.027186,4.802865,0,0
cuda,cait_m36_384,4,60.226863,57.974352,56.923148,49.794737,47.289370,4.821640,38.685970,4.386212,4.126393,0.154382,3.127537,0,0
cuda,coat_lite_mini,128,83.618237,82.498054,81.564147,79.704315,77.493172,1.986486,74.382330,2.284205,2.178705,0.045651,18.611593,0,0
cuda,convit_base,64,47.373878,46.386782,45.415405,43.293366,41.628598,1.684719,38.675188,1.673796,2.096553,0.055331,4.579365,0,0
cuda,convmixer_768_32,32,17.661610,16.802886,15.931816,13.640294,13.401629,1.715856,10.749224,0.656247,1.412839,0.034229,1.023580,0,0
cuda,convnext_base,64,44.973916,43.557934,42.430507,39.967455,39.578409,2.043885,36.083889,1.955553,1.985457,0.060373,4.643402,0,0
cuda,crossvit_9_240,256,63.238018,62.190449,61.243865,58.565368,56.890144,2.350240,53.162285,3.017598,2.764650,0.052855,7.356047,0,0
cuda,cspdarknet53,64,48.167021,46.709896,45.770809,43.296174,43.040452,1.646031,40.406482,1.386168,1.733791,0.041450,6.500774,0,0
cuda,deit_base_distilled_patch16_224,64,20.834304,20.091594,19.141426,17.772644,17.501237,0.977466,15.774490,1.033254,1.275005,0.026863,1.345473,0,0
cuda,dla102,128,47.046356,45.816280,44.899523,41.518581,41.050702,2.219938,37.454260,1.500987,2.032371,0.061584,6.340166,0,0
cuda,dm_nfnet_f0,128,46.457815,44.845542,43.844873,41.761269,41.284727,1.926038,38.394450,2.036213,2.171067,0.052800,5.177407,0,0
cuda,dpn107,64,95.932275,93.335593,92.222329,88.127746,87.601660,2.849578,83.139227,2.795691,3.096894,0.070756,19.180465,0,0
cuda,eca_botnext26ts_256,128,48.364557,47.259675,46.333913,44.764669,43.874811,1.968676,41.127919,2.369182,2.024766,0.032133,6.092167,0,0
cuda,eca_halonext26ts,128,61.174801,60.028528,59.093425,57.423342,55.880123,2.493968,52.568733,5.916615,3.370325,0.033315,8.136070,0,0
cuda,ese_vovnet19b_dw,256,37.866714,37.091741,36.221222,35.343770,35.189265,0.755922,34.063877,0.839011,1.387948,0.022424,6.487230,0,0
cuda,fbnetc_100,512,39.531788,38.374563,37.441319,35.435259,35.071801,1.300619,32.956878,0.689871,1.458734,0.037233,6.093743,0,0
cuda,fbnetv3_b,256,54.518967,52.592523,51.696849,47.947684,47.623449,2.807305,43.294106,1.633444,2.588978,0.070575,9.105315,0,0
cuda,gernet_l,128,34.645802,33.445066,32.500343,30.763436,30.387654,1.183374,28.471890,0.609324,1.498345,0.032536,2.789798,0,0
cuda,ghostnet_100,512,56.842482,55.596391,54.628577,51.620342,51.107371,1.952478,47.907984,1.452056,2.032768,0.056808,11.990726,0,0
cuda,gluon_inception_v3,256,61.126147,59.227829,58.317646,55.233037,54.957207,2.484971,51.256589,2.729491,3.327830,0.056272,7.648561,0,0
cuda,gmixer_24_224,128,43.704617,42.625612,41.647007,39.007238,37.719605,2.375335,33.600021,2.567837,2.574054,0.049715,4.335193,0,0
cuda,gmlp_s16_224,128,35.718979,34.670670,33.711681,31.073713,30.186279,2.352677,26.359991,2.568187,2.002549,0.044672,2.963265,0,0
cuda,hrnet_w18,128,81.217296,77.516456,76.429784,65.241457,64.371150,7.453405,52.444616,3.876728,5.001599,0.156793,6.777327,0,0
cuda,inception_v3,128,61.032814,59.108868,58.205540,55.133552,54.852637,2.541411,51.096540,2.763076,3.357108,0.056559,7.125650,0,0
cuda,jx_nest_base,32,72.067572,70.414535,69.399456,65.828511,63.730018,3.062513,58.619895,3.118195,2.666390,0.080411,7.194405,0,0
cuda,lcnet_050,256,32.671620,31.971887,31.113712,29.972855,29.801968,0.778774,28.563714,0.653999,1.094570,0.021063,3.126765,0,0
cuda,levit_128,1024,51.839448,50.472767,49.466048,46.227530,43.276966,2.379628,39.631769,1.608954,1.942498,0.050008,6.692008,0,0
cuda,mixer_b16_224,128,38.044823,37.432407,36.521858,35.251783,34.330366,1.483169,31.986721,1.213217,1.561775,0.028764,4.827950,0,0
cuda,mixnet_l,128,67.515640,65.702720,64.812885,61.738008,61.463658,2.448205,57.770558,1.960189,3.218922,0.082146,13.168653,0,0
cuda,mnasnet_100,512,37.375962,36.315528,35.400550,33.793645,33.596488,1.226782,31.698437,0.580727,1.294128,0.031229,5.508605,0,0
cuda,mobilenetv2_100,128,36.813082,35.740966,34.806588,33.044799,32.835959,1.117203,30.866989,0.582023,1.301054,0.033122,4.449814,0,0
cuda,mobilenetv3_large_100,512,46.690469,45.557125,44.635893,42.818212,42.607551,1.274355,40.404269,0.823848,1.529824,0.040187,9.087365,0,0
cuda,mobilevit_s,64,71.475438,70.134052,69.181201,66.947922,66.491132,2.685937,62.783805,6.761895,5.310940,0.049415,8.596566,0,0
cuda,nfnet_l0,128,47.571466,46.150015,45.142043,43.238623,42.926018,1.592700,40.321910,1.815218,2.013844,0.051820,6.978468,0,0
cuda,pit_b_224,64,48.895394,48.004419,47.042734,45.461493,44.835407,1.324573,42.666399,1.147965,1.396887,0.033905,6.492531,0,0
cuda,pnasnet5large,16,85.517532,82.004988,80.872033,73.574303,73.045315,6.272578,63.585404,6.288357,6.519130,0.159047,10.528209,0,0
cuda,poolformer_m36,64,84.339706,82.326151,81.253115,78.625089,78.221666,6.058897,70.959789,10.449235,7.195703,0.087920,10.075526,0,0
cuda,regnety_002,1024,40.194753,39.034885,38.063312,36.454940,36.052417,1.185789,34.189748,0.728772,1.608155,0.035829,5.665436,0,0
cuda,repvgg_a2,128,32.704772,31.544991,30.620504,28.644455,28.434041,1.294923,26.382143,0.643360,1.287030,0.026513,2.393160,0,0
cuda,res2net101_26w_4s,128,62.178392,60.480291,59.447754,53.104430,52.658550,4.049592,45.878808,3.250263,4.045870,0.099864,6.620005,0,0
cuda,res2net50_14w_8s,128,68.097659,66.637954,65.639786,59.671962,59.268416,4.077914,52.753670,3.052059,3.843668,0.084499,9.539445,0,0
cuda,res2next50,128,51.104484,50.079925,49.170977,46.088771,45.644702,2.128406,42.238642,2.245858,2.673929,0.052194,6.388757,0,0
cuda,resmlp_12_224,128,23.591244,22.977719,22.069832,21.086792,20.315877,0.626679,19.196670,0.571390,0.958014,0.024391,3.013691,0,0
cuda,resnest101e,64,61.367950,59.289319,58.349951,52.849886,52.327052,4.298904,45.597991,3.394942,3.821409,0.101996,8.577356,0,0
cuda,rexnet_100,256,72.539626,70.854756,69.375669,66.848671,66.610525,1.655950,63.991993,1.438097,1.897680,0.053233,16.721142,0,0
cuda,sebotnet33ts_256,64,56.768959,55.458893,54.501288,52.509187,51.044142,2.329221,47.970347,3.302783,2.157051,0.041400,7.122170,0,0
